symbol,settlement,last,change,open,high,low,previous_close,turnover,volume,operations,datetime
CSIWO,spot,,,,,,8880.743,,,,
CSIWO,24hs,,,,,,8358.905,,,,
CSIWO,48hs,9100.0,-0.55,9100.0,9100.0,9100.0,9150.834,2184.0,24.0,1.0,2021-08-31 14:45:48
CSJXD,spot,,,,,,100.232,,,,
CSJXD,48hs,,,,,,101.75,,,,
CSJXO,spot,,,,,,17300.0,,,,
CSJXO,24hs,,,,,,,,,,
CSJXO,48hs,,,,,,17240.0,,,,
CSJYD,spot,,,,,,102.0,,,,
CSJYD,24hs,,,,,,99.732,,,,
CSJYD,48hs,105.25,0.71,104.5,105.25,104.0,104.5,17126.0,16288.0,3.0,2021-08-31 13:49:15
CSJYO,spot,,,,,,17679.865,,,,
CSJYO,48hs,17812.5,0.07,17812.5,17812.5,17812.5,17800.0,2672.0,15.0,1.0,2021-08-31 15:49:30
CSKZD,spot,,,,,,102.0,,,,
CSKZD,48hs,99.05,-2.41,100.0,100.0,99.05,101.5,994.0,999.0,2.0,2021-08-31 15:35:51
CSKZO,spot,,,,,,16750.0,,,,
CSKZO,48hs,17074.5,1.33,17100.0,17100.0,17074.5,16850.0,109731.0,642.0,2.0,2021-08-31 14:48:44
GN34D,spot,99.5,-1.58,99.0,99.5,99.0,101.1,101666.0,102393.0,4.0,2021-08-31 14:23:57
GN34D,24hs,,,,,,100.0,,,,
GN34D,48hs,,,,,,99.0,,,,
GN34O,spot,17127.0,,17127.0,17127.0,17127.0,17127.0,19696.0,115.0,1.0,2021-08-31 13:50:19
GN34O,24hs,,,,,,,,,,
GN34O,48hs,17050.0,0.29,17050.0,17050.0,17050.0,17000.0,596750.0,3500.0,1.0,2021-08-31 16:09:40
GNCLD,spot,,,,,,100.7,,,,
GNCLD,24hs,,,,,,100.5,,,,
GNCLD,48hs,,,,,,102.0,,,,
GNCUO,spot,,,,,,7380.5,,,,
GNCUO,24hs,,,,,,7381.0,,,,
GNCUO,48hs,,,,,,9700.0,,,,
GNCWD,spot,,,,,,106.6,,,,
GNCWD,24hs,,,,,,104.975,,,,
GNCWD,48hs,106.5,-0.46,108.0,108.0,106.5,107.0,11274.0,10561.0,13.0,2021-08-31 15:53:52
GNCWO,spot,,,,,,18315.0,,,,
GNCWO,48hs,18400.0,1.09,18300.0,18500.0,18200.0,18200.0,591131.0,3217.0,13.0,2021-08-31 15:36:27
GNCYO,spot,,,,,,9687.5,,,,
GNCYO,24hs,,,,,,,,,,
GNCYO,48hs,,,,,,9895.0,,,,
HBC4D,spot,,,,,,109.75,,,,
HBC4D,24hs,,,,,,102.8,,,,
HBC4D,48hs,,,,,,106.85,,,,
HBC4O,spot,,,,,,19000.0,,,,
HBC4O,24hs,,,,,,15048.673,,,,
HBC4O,48hs,,,,,,17100.0,,,,
HJC3D,spot,,,,,,102.5,,,,
HJC3D,24hs,,,,,,98.54,,,,
HJC3D,48hs,,,,,,101.25,,,,
HJC7D,spot,,,,,,107.0,,,,
HJC7D,24hs,103.4,,103.4,103.4,103.4,103.4,51700.0,50000.0,4.0,2021-08-31 16:08:15
HJC7D,48hs,,,,,,103.75,,,,
HJC7O,spot,18148.0,0.32,18148.0,18148.0,18148.0,18090.0,1996280.0,11000.0,1.0,2021-08-31 15:02:15
HJC7O,24hs,,,,,,,,,,
HJC7O,48hs,18130.0,,18130.0,18130.0,18130.0,,1994300.0,11000.0,1.0,2021-08-31 13:40:12
IRC1D,spot,,,,,,101.479,,,,
