symbol,settlement,last,change,open,high,low,previous_close,turnover,volume,operations,datetime
BCD21,spot,102.5,,102.5,102.5,102.5,,9998617.0,9754748.0,1.0,2021-09-02 14:57:43
BCD21,24hs,,,,,,,,,,
BCD21,48hs,,,,,,102.25,,,,
BDC22,spot,,,,,,93.347,,,,
BDC22,24hs,,,,,,93.847,,,,
BDC22,48hs,,,,,,103.5,,,,
BDC24,spot,,,,,,96.51,,,,
BDC24,24hs,,,,,,94.0,,,,
BDC24,48hs,97.35,,98.25,98.25,97.3,97.35,1746850.0,1793965.0,14.0,2021-09-02 16:49:20
BDC28,spot,,,,,,88.85,,,,
BDC28,24hs,,,,,,64.371,,,,
BDC28,48hs,88.5,0.28,88.5,89.25,88.0,88.25,478469.0,542386.0,16.0,2021-09-02 16:15:31
BL2S1,48hs,,,,,,,,,,
BNL23,48hs,,,,,,107.0,,,,
BNY22,spot,,,,,,49.918,,,,
BNY22,24hs,,,,,,58.0,,,,
BNY22,48hs,58.6,-0.25,58.5,58.7,58.5,58.75,1084375.0,1850000.0,11.0,2021-09-02 16:06:55
BU2N1,spot,,,,,,102.25,,,,
BU2N1,24hs,,,,,,,,,,
BU2N1,48hs,,,,,,112.69,,,,
BU2S1,48hs,,,,,,107.1,,,,
BU3D1,48hs,,,,,,106.14,,,,
BU4S1,spot,,,,,,,,,,
BU4S1,24hs,,,,,,,,,,
BU4S1,48hs,,,,,,,,,,
BU4SC,spot,,,,,,,,,,
BU4SC,24hs,,,,,,,,,,
BU4SC,48hs,,,,,,,,,,
BU4SD,spot,,,,,,,,,,
BU4SD,24hs,,,,,,,,,,
BU4SD,48hs,,,,,,,,,,
BUM22,spot,,,,,,,,,,
BUM22,24hs,,,,,,100.0,,,,
BUM22,48hs,,,,,,100.0,,,,
BUM2C,spot,,,,,,,,,,
BUM2C,24hs,,,,,,,,,,
BUM2C,48hs,,,,,,,,,,
BUM2D,spot,,,,,,,,,,
BUM2D,24hs,,,,,,,,,,
BUM2D,48hs,,,,,,,,,,
BUO21,48hs,,,,,,103.85,,,,
C169A,48hs,,,,,,,,,,
C169B,48hs,,,,,,,,,,
CCO26,spot,,,,,,61.35,,,,
CCO26,24hs,,,,,,60.75,,,,
CCO26,48hs,,,,,,61.0,,,,
CEDI,spot,,,,,,6850.0,,,,
CEDI,24hs,,,,,,3594.0,,,,
CEDI,48hs,,,,,,14000.0,,,,
CO23,spot,,,,,,100.0,,,,
CO23,24hs,,,,,,99.0,,,,
CO23,48hs,,,,,,96.0,,,,
CO26,spot,10500.0,0.97,10500.0,10500.0,10500.0,10399.0,105000.0,1000.0,1.0,2021-09-02 11:36:56
CO26,24hs,,,,,,10600.0,,,,
CO26,48hs,10500.0,-0.56,10550.0,10560.0,10490.0,10560.0,6838653.0,64813.0,28.0,2021-09-02 16:30:37
CO26D,spot,,,,,,61.0,,,,
CO26D,24hs,,,,,,63.24,,,,
CO26D,48hs,61.2,-1.29,62.0,62.0,61.0,62.0,2456.0,4000.0,4.0,2021-09-02 16:21:26
CU17A,spot,,,,,,,,,,
CU17A,24hs,,,,,,,,,,
CU17A,48hs,,,,,,,,,,
CU17B,spot,,,,,,,,,,
CU17B,24hs,,,,,,,,,,
CU17B,48hs,,,,,,,,,,
CU17C,spot,,,,,,,,,,
CU17C,24hs,,,,,,,,,,
CU17C,48hs,,,,,,,,,,
CUAP,spot,,,,,,1430.0,,,,
CUAP,24hs,,,,,,656.191,,,,
CUAP,48hs,1450.0,1.39,1430.0,1450.0,1430.0,1430.0,345.0,24.0,2.0,2021-09-02 15:49:23
DH01A,spot,,,,,,,,,,
DH01A,24hs,,,,,,,,,,
DH01A,48hs,,,,,,4000.695,,,,
DIA0,spot,,,,,,7800.0,,,,
DIA0,24hs,7800.0,,7800.0,7800.0,7800.0,7800.0,22136868.0,283806.0,1.0,2021-09-02 12:00:21
DIA0,48hs,,,,,,7800.0,,,,
DICP,spot,,,,,,2520.0,,,,
DICP,24hs,,,,,,2533.0,,,,
DICP,48hs,2515.5,-0.57,2530.0,2538.0,2515.0,2530.0,38272447.0,1512462.0,49.0,2021-09-02 16:51:47
DIP0,spot,,,,,,2450.0,,,,
DIP0,24hs,,,,,,0.01,,,,
DIP0,48hs,2470.0,1.22,2470.0,2470.0,2470.0,2440.0,5434.0,220.0,1.0,2021-09-02 15:41:10
DT11A,48hs,,,,,,,,,,
GD29,spot,7420.0,1.78,7369.0,7420.0,7369.0,7290.0,2003943.0,27070.0,10.0,2021-09-02 15:47:36
GD29,24hs,,,,,,6488.718,,,,
GD29,48hs,7500.0,2.73,7302.0,7550.0,7302.0,7300.5,3570063.0,48132.0,64.0,2021-09-02 16:28:25
GD29D,spot,43.37,3.01,42.75,43.37,42.75,42.1,3053.0,7068.0,3.0,2021-09-02 15:47:50
GD29D,24hs,,,,,,40.653,,,,
GD29D,48hs,43.4,2.11,42.75,43.4,42.7,42.5,6880.0,15954.0,18.0,2021-09-02 16:22:30
GD30,spot,7100.0,1.64,7023.0,7136.5,6991.0,6985.0,1352725070.0,19146673.0,2237.0,2021-09-02 16:00:11
GD30,24hs,7060.0,0.98,7055.0,7140.0,7041.0,6991.0,13109132.0,185627.0,17.0,2021-09-02 16:45:10
GD30,48hs,7077.5,1.15,7025.5,7150.0,7025.5,6997.0,796111817.0,11241876.0,1313.0,2021-09-02 16:52:18
GD30C,spot,41.0,2.75,40.0,41.0,40.0,39.9,241653.0,596957.0,83.0,2021-09-02 15:45:35
GD30C,24hs,,,,,,38.2,,,,
GD30C,48hs,39.8,0.75,39.5,39.8,39.5,39.5,344.0,866.0,2.0,2021-09-02 15:50:05
GD30D,spot,41.0,0.96,40.8,41.3,40.5,40.61,6536155.0,15947438.0,1367.0,2021-09-02 16:00:13
GD30D,24hs,41.1,1.75,41.15,41.15,41.1,40.39,4615.0,11220.0,6.0,2021-09-02 16:32:44
GD30D,48hs,40.95,0.66,41.0,41.31,40.78,40.68,2479350.0,6047680.0,484.0,2021-09-02 16:52:04
GD35,spot,6370.0,0.32,6349.5,6381.5,6310.5,6349.5,27772316.0,438991.0,55.0,2021-09-02 15:56:55
GD35,24hs,6370.0,4.44,6370.0,6370.0,6370.0,6099.0,3018870.0,47392.0,2.0,2021-09-02 16:22:18
GD35,48hs,6381.0,0.66,6280.0,6415.0,6280.0,6339.0,123928543.0,1944701.0,672.0,2021-09-02 16:52:22
GD35C,spot,,,,,,35.0,,,,
GD35C,24hs,,,,,,33.0,,,,
GD35C,48hs,,,,,,34.0,,,,
GD35D,spot,37.4,2.46,36.8,37.4,36.78,36.5,252.0,682.0,8.0,2021-09-02 14:33:28
GD35D,24hs,,,,,,34.88,,,,
GD35D,48hs,37.0,0.81,37.0,37.1,36.6,36.7,162523.0,439530.0,43.0,2021-09-02 16:50:41
GD38,spot,7470.5,0.95,7470.0,7490.0,7470.0,7400.0,2880988.0,38556.0,6.0,2021-09-02 15:49:09
GD38,24hs,,,,,,7133.0,,,,
GD38,48hs,7530.0,1.41,7425.0,7535.0,7400.0,7425.0,2186144.0,29214.0,23.0,2021-09-02 16:46:06
GD38C,spot,,,,,,41.0,,,,
GD38C,24hs,,,,,,40.0,,,,
GD38C,48hs,,,,,,39.51,,,,
