symbol,settlement,last,change,open,high,low,previous_close,turnover,volume,operations,datetime
TX23C,spot,0.94,2.17,0.93,0.94,0.93,0.92,69993.0,7446064.0,2.0,2021-09-02 14:44:20
TX23C,24hs,,,,,,0.93,,,,
TX23C,48hs,,,,,,0.88,,,,
TX23D,spot,0.94,1.07,0.94,0.94,0.94,0.93,117000.0,12446809.0,1.0,2021-09-02 15:14:39
TX23D,24hs,,,,,,0.93,,,,
TX23D,48hs,,,,,,0.89,,,,
TX24,spot,154.0,1.31,152.0,154.1,152.0,152.0,173953.0,113602.0,10.0,2021-09-02 15:36:39
TX24,24hs,,,,,,153.25,,,,
TX24,48hs,152.35,-0.09,153.95,153.95,152.0,152.5,117583670.0,77191972.0,60.0,2021-09-02 16:51:00
TX26,spot,124.0,-0.16,124.2,125.3,123.0,124.2,166222.0,133925.0,29.0,2021-09-02 14:36:43
TX26,24hs,125.0,0.4,125.0,125.0,125.0,124.5,995.0,796.0,1.0,2021-09-02 11:44:15
TX26,48hs,124.5,0.12,125.0,125.0,123.5,124.35,9771109.0,7854805.0,81.0,2021-09-02 16:52:32
TX28,spot,120.0,1.69,118.0,120.0,118.0,118.0,44631.0,37473.0,7.0,2021-09-02 15:42:16
TX28,24hs,,,,,,99.596,,,,
TX28,48hs,118.5,0.42,118.0,120.7,115.15,118.0,911032.0,765436.0,48.0,2021-09-02 16:48:33
