symbol,settlement,last,change,open,high,low,previous_close,turnover,volume,operations,datetime
CSJXO,48hs,17240.0,,17240.0,17240.0,17240.0,17240.0,128438.0,745.0,2.0,2021-09-01 12:42:58
CSJYD,spot,103.0,0.98,103.0,103.0,103.0,102.0,10300.0,10000.0,1.0,2021-09-01 15:03:47
CSJYD,24hs,,,,,,99.732,,,,
CSJYD,48hs,105.5,0.47,105.5,105.5,105.5,105.0,496.0,470.0,1.0,2021-09-01 12:14:41
CSJYO,spot,,,,,,17679.865,,,,
CSJYO,48hs,17900.0,0.49,17900.0,17900.0,17800.0,17812.5,602138.0,3364.0,4.0,2021-09-01 14:34:50
CSKZD,spot,,,,,,102.0,,,,
CSKZD,48hs,,,,,,99.05,,,,
CSKZO,spot,,,,,,16750.0,,,,
CSKZO,48hs,17090.0,0.09,17000.0,17090.0,17000.0,17074.5,7441990.0,43771.0,7.0,2021-09-01 16:49:08
GN34D,spot,101.25,1.75,99.25,101.25,99.25,99.5,52125.0,52469.0,2.0,2021-09-01 15:37:56
GN34D,24hs,,,,,,100.0,,,,
GN34D,48hs,101.2,1.2,101.2,101.2,101.2,100.0,221.0,218.0,2.0,2021-09-01 13:03:19
GN34O,spot,17200.0,0.42,17200.0,17200.0,17200.0,17127.0,298076.0,1733.0,2.0,2021-09-01 11:35:01
GN34O,24hs,,,,,,,,,,
GN34O,48hs,17050.0,,17000.0,17050.0,17000.0,17050.0,51903.0,305.0,2.0,2021-09-01 16:40:00
GNCLD,spot,,,,,,100.7,,,,
GNCLD,24hs,,,,,,100.5,,,,
GNCLD,48hs,,,,,,102.0,,,,
GNCLO,spot,,,,,,16800.0,,,,
GNCLO,24hs,,,,,,0.01,,,,
GNCLO,48hs,,,,,,17100.0,,,,
GNCUO,spot,,,,,,7380.5,,,,
GNCUO,24hs,,,,,,7381.0,,,,
GNCUO,48hs,,,,,,9700.0,,,,
GNCWD,spot,105.0,-1.5,106.0,106.0,104.0,106.6,1066.0,1016.0,6.0,2021-09-01 13:44:18
GNCWD,24hs,,,,,,104.975,,,,
GNCWD,48hs,106.0,-0.46,106.0,106.0,105.0,106.5,4023.0,3820.0,9.0,2021-09-01 13:50:09
GNCWO,spot,18400.0,0.46,18300.0,18400.0,18200.0,18315.0,274306.0,1500.0,5.0,2021-09-01 15:34:26
GNCWO,48hs,18300.0,0.54,18300.0,18599.0,18200.0,18200.0,929495.0,5062.0,22.0,2021-09-01 16:50:33
GNCYO,spot,,,,,,9687.5,,,,
GNCYO,24hs,,,,,,,,,,
GNCYO,48hs,,,,,,9895.0,,,,
HJC3D,spot,,,,,,102.5,,,,
HJC3D,24hs,,,,,,98.54,,,,
HJC3D,48hs,,,,,,98.79,,,,
HJC3O,spot,,,,,,17900.0,,,,
HJC3O,24hs,,,,,,17322.0,,,,
HJC3O,48hs,,,,,,15376.524,,,,
HJC7D,spot,,,,,,107.0,,,,
HJC7D,24hs,103.4,,103.4,104.0,103.4,103.4,143976.0,139130.0,11.0,2021-09-01 14:46:16
HJC7D,48hs,,,,,,103.75,,,,
HJC7O,spot,,,,,,18148.0,,,,
HJC7O,24hs,,,,,,,,,,
HJC7O,48hs,,,,,,18130.0,,,,
IRC1D,spot,,,,,,101.479,,,,
IRC1D,24hs,,,,,,87.603,,,,
IRC1D,48hs,,,,,,105.0,,,,
IRC1O,spot,,,,,,17455.406,,,,
IRC1O,24hs,,,,,,13310.943,,,,
IRC1O,48hs,,,,,,17500.0,,,,
IRC7O,spot,,,,,,9775.0,,,,
IRC7O,24hs,,,,,,8164.388,,,,
IRC7O,48hs,,,,,,9880.0,,,,
IRC8D,spot,,,,,,102.479,,,,
IRC8D,24hs,,,,,,96.791,,,,
IRC8D,48hs,105.9,-1.48,105.9,105.9,105.9,107.5,16084.0,15188.0,16.0,2021-09-01 15:40:33
IRC8O,spot,,,,,,18000.0,,,,
IRC8O,24hs,,,,,,13826.396,,,,
IRC8O,48hs,18300.0,-0.54,18400.0,18410.0,18200.0,18400.0,2383957.0,13025.0,28.0,2021-09-01 16:47:13
IRC9D,spot,,,,,,107.0,,,,
IRC9D,24hs,,,,,,104.65,,,,
IRC9D,48hs,105.0,-0.7,106.0,106.0,103.0,105.75,26426.0,25215.0,31.0,2021-09-01 16:03:45
IRC9O,spot,17700.0,-2.2,17900.0,17900.0,17700.0,18100.0,40583.0,229.0,3.0,2021-09-01 13:35:46
IRC9O,24hs,,,,,,,,,,
IRC9O,48hs,18000.0,-0.55,18350.0,18350.0,17830.0,18100.0,2403413.0,13355.0,70.0,2021-09-01 17:00:27
IRCEC,spot,,,,,,,,,,
IRCEC,24hs,,,,,,,,,,
IRCEC,48hs,,,,,,,,,,
IRCED,spot,,,,,,,,,,
IRCED,24hs,,,,,,,,,,
IRCED,48hs,,,,,,,,,,
IRCEO,spot,,,,,,9731.5,,,,
IRCEO,24hs,,,,,,,,,,
IRCEO,48hs,,,,,,,,,,
JHCGD,spot,,,,,,98.93,,,,
JHCGD,24hs,,,,,,96.88,,,,
JHCGD,48hs,,,,,,100.5,,,,
LMS1C,spot,,,,,,100.0,,,,
LMS1C,24hs,,,,,,93.5,,,,
LMS1C,48hs,,,,,,96.15,,,,
LMS1D,spot,,,,,,101.6,,,,
LMS1D,24hs,,,,,,101.0,,,,
LMS1D,48hs,99.0,-1.0,99.0,99.0,99.0,100.0,20295.0,20500.0,9.0,2021-09-01 15:25:02
LMS1O,spot,16500.0,-1.78,16500.0,16500.0,16500.0,16800.0,793485.0,4809.0,1.0,2021-09-01 14:10:46
LMS1O,24hs,,,,,,17600.0,,,,
LMS1O,48hs,16700.0,2.45,16700.0,16700.0,16700.0,16300.0,2680350.0,16050.0,5.0,2021-09-01 14:11:39
MRC4O,spot,13412.0,2.69,13412.0,13412.0,13412.0,13060.0,1319875.0,9841.0,1.0,2021-09-01 14:55:31
MRC4O,24hs,,,,,,13288.862,,,,
MRC4O,48hs,,,,,,12339.097,,,,
MSS8O,spot,,,,,,8668.0,,,,
MSS8O,48hs,,,,,,8700.0,,,,
MSS9C,spot,,,,,,,,,,
MSS9C,24hs,,,,,,,,,,
MSS9C,48hs,,,,,,,,,,
MSS9D,spot,,,,,,,,,,
MSS9D,24hs,,,,,,,,,,
MSS9D,48hs,,,,,,,,,,
MSS9O,spot,,,,,,,,,,
MSS9O,24hs,,,,,,,,,,
MSS9O,48hs,,,,,,,,,,
MTCGD,spot,,,,,,105.0,,,,
MTCGD,24hs,,,,,,,,,,
MTCGD,48hs,107.0,1.9,106.0,107.0,106.0,105.0,601.0,564.0,3.0,2021-09-01 16:17:43
MTCGO,spot,,,,,,,,,,
MTCGO,24hs,,,,,,,,,,
