symbol,settlement,last,change,open,high,low,previous_close,turnover,volume,operations,datetime
BAY23,48hs,93.75,-0.26,93.0,94.0,93.0,94.0,630841.0,673004.0,15.0,2021-09-01 16:44:37
BBF22,48hs,,,,,,,,,,
BDC22,spot,,,,,,93.347,,,,
BDC22,24hs,,,,,,93.847,,,,
BDC22,48hs,103.5,-0.95,103.5,103.5,103.5,104.5,41999.0,40579.0,1.0,2021-09-01 16:30:57
BDC24,spot,,,,,,96.51,,,,
BDC24,24hs,,,,,,94.0,,,,
BDC24,48hs,97.35,,96.5,97.5,96.5,97.35,3790436.0,3894682.0,31.0,2021-09-01 16:47:46
BDC28,spot,,,,,,88.85,,,,
BDC28,24hs,,,,,,64.371,,,,
BDC28,48hs,88.25,-0.5,89.0,89.0,88.0,88.7,516481.0,583686.0,24.0,2021-09-01 17:00:12
BL2S1,48hs,,,,,,,,,,
BNL23,48hs,,,,,,107.0,,,,
BNY22,spot,,,,,,49.918,,,,
BNY22,24hs,,,,,,58.0,,,,
BNY22,48hs,58.75,-0.08,58.75,58.75,58.75,58.8,146875.0,250000.0,1.0,2021-09-01 15:30:50
BU2N1,spot,,,,,,102.25,,,,
BU2N1,24hs,,,,,,,,,,
BU2N1,48hs,,,,,,112.69,,,,
BU2S1,48hs,,,,,,107.1,,,,
BU3D1,48hs,,,,,,106.14,,,,
BU4S1,spot,,,,,,,,,,
BU4S1,24hs,,,,,,,,,,
BU4S1,48hs,,,,,,,,,,
BU4SC,spot,,,,,,,,,,
BU4SC,24hs,,,,,,,,,,
BU4SC,48hs,,,,,,,,,,
BU4SD,spot,,,,,,,,,,
BU4SD,24hs,,,,,,,,,,
BU4SD,48hs,,,,,,,,,,
BUM22,spot,,,,,,,,,,
BUM22,24hs,,,,,,100.0,,,,
BUM22,48hs,,,,,,100.0,,,,
BUM2C,spot,,,,,,,,,,
BUM2C,24hs,,,,,,,,,,
BUM2C,48hs,,,,,,,,,,
BUM2D,spot,,,,,,,,,,
